Date,Open,High,Low,Close,Adj Close,Volume
2021-11-26,159.570007,160.449997,156.360001,156.809998,155.905167,76959800
2021-11-29,159.369995,161.190002,158.789993,160.240005,159.315369,88748200
2021-11-30,159.990005,165.520004,159.919998,165.300003,164.346176,174048100
2021-12-01,167.479996,170.300003,164.529999,164.770004,163.819244,152052500
2021-12-02,158.740005,164.199997,157.800003,163.759995,162.815063,136739200
2021-12-03,164.020004,164.960007,159.720001,161.839996,160.906128,118023100
2021-12-06,164.289993,167.880005,164.279999,165.320007,164.366058,107497000
2021-12-07,169.080002,171.580002,168.339996,171.179993,170.192245,120405400
2021-12-08,172.130005,175.960007,170.699997,175.080002,174.069748,116998900
2021-12-09,174.910004,176.750000,173.919998,174.559998,173.552734,108923700
2021-12-10,175.210007,179.630005,174.690002,179.449997,178.414505,115402700
2021-12-13,181.119995,182.130005,175.529999,175.740005,174.725937,153237000
2021-12-14,175.250000,177.740005,172.210007,174.330002,173.324066,139380400
2021-12-15,175.110001,179.500000,172.309998,179.300003,178.265396,131063300
2021-12-16,179.279999,181.139999,170.750000,172.259995,171.266006,150185800
2021-12-17,169.929993,173.470001,169.690002,171.139999,170.152466,195432700
2021-12-20,168.279999,170.580002,167.460007,169.750000,168.770493,107499100
2021-12-21,171.559998,173.199997,169.119995,172.990005,171.991806,91185900
2021-12-22,173.039993,175.860001,172.149994,175.639999,174.626495,92135300
2021-12-23,175.850006,176.850006,175.270004,176.279999,175.262802,68356600
2021-12-27,177.089996,180.419998,177.070007,180.330002,179.289444,74919600
2021-12-28,180.160004,181.330002,178.529999,179.289993,178.255447,79144300
2021-12-29,179.330002,180.630005,178.139999,179.380005,178.344925,62348900
2021-12-30,179.470001,180.570007,178.089996,178.199997,177.171738,59773000
2021-12-31,178.089996,179.229996,177.259995,177.570007,176.545380,64062300
2022-01-03,177.830002,182.880005,177.710007,182.009995,180.959747,104487900
2022-01-04,182.630005,182.940002,179.119995,179.699997,178.663071,99310400
2022-01-05,179.610001,180.169998,174.639999,174.919998,173.910660,94537600
2022-01-06,172.699997,175.300003,171.639999,172.000000,171.007523,96904000
2022-01-07,172.889999,174.139999,171.029999,172.169998,171.176529,86709100
2022-01-10,169.080002,172.500000,168.169998,172.190002,171.196426,106765600
2022-01-11,172.320007,175.179993,170.820007,175.080002,174.069748,76138300
2022-01-12,176.119995,177.179993,174.820007,175.529999,174.517136,74805200
2022-01-13,175.779999,176.619995,171.789993,172.190002,171.196426,84505800
2022-01-14,171.339996,173.779999,171.089996,173.070007,172.071350,80440800
2022-01-18,171.509995,172.539993,169.410004,169.800003,168.820206,90956700
